identifier,title,year,description,url,notes,query
CherryKnight,Cherry Knight,,,https://archive.org/details/CherryKnight,,"auction OR ""stock market"" OR trading OR money OR bank"
ParkCons1938,Park Conscious,1938,Elegy to recreation and relaxation in state and national parks.,https://archive.org/details/ParkCons1938,,alone OR solitude OR lonely OR quiet
Preventi1940,Preventing the Spread of Disease,1940,Health film using unusual imagery and metaphors to impart lessons in hygiene.,https://archive.org/details/Preventi1940,,alone OR solitude OR lonely OR quiet
stripper_variety_girls,Stripper - Variety Girls,,,https://archive.org/details/stripper_variety_girls,,alone OR solitude OR lonely OR quiet
Exercise1949,Exercise and Health,1949,How exercise will make you healthy and popular.,https://archive.org/details/Exercise1949,,dream OR dreams OR sleep OR subconscious
ForHealt1941,For Health and Happiness,1941,"Lively children illustrate the results of good nutrition, affection, and intelligent care.",https://archive.org/details/ForHealt1941,,salesman OR selling OR persuasion
WhyPlayL1949,Why Play Leap Frog?,1949,Cold War-era cartoon aimed at convincing workers that increased productivity brings about greater purchasing power.,https://archive.org/details/WhyPlayL1949,,salesman OR selling OR persuasion
4050_What_Makes_Us_Tick_02_01_18_19,What Makes Us Tick,1952,"The animated film explores the life of a typical American family, focusing on John Q Public, who manages his finances through investments and savings. It details how John Q's investments in stocks and bonds contribute to the growth of American industry, using the example of an oil drum manufacturing corporation seeking to expand. The process of forming a corporation, raising capital through stock sales, and the importance of the New York Stock Exchange in facilitating these transactions are expl",https://archive.org/details/4050_What_Makes_Us_Tick_02_01_18_19,,salesman OR selling OR persuasion
isforAto1953,A is for Atom,1953,"Animated classic presenting what an atom is, how energy is released from certain kinds of atoms, the peacetime uses of atomic energy and the byproducts of nuclear fission.",https://archive.org/details/isforAto1953,,"automation OR computer OR ""electronic brain"" OR robot"
Countdow1960,[Countdown Leader: Technicolor Corporation],1960,Countdown leader.,https://archive.org/details/Countdow1960,,"automation OR computer OR ""electronic brain"" OR robot"
